CA006158350,18600104,TMAX,-67,,,C,
CA006158350,18600104,TMIN,-117,,,C,
CA006158350,18600104,PRCP,5,,,C,
CA006158350,18600104,SNOW,5,,,C,
HRE00105189,18600104,PRCP,0,,,E,
ASN00070037,18600104,PRCP,147,,,a,
USC00465224,18600104,SNOW,0,,,6,
BE000006447,18600104,TMAX,73,,,I,
BE000006447,18600104,TMIN,60,,,I,
AGE00135039,18600104,TMAX,190,,,E,
AGE00135039,18600104,TMIN,115,,,E,
AGE00135039,18600104,PRCP,0,,,E,
NLE00100498,18600104,PRCP,10,,,E,
ASN00063004,18600104,TMAX,256,,,a,
ASN00063004,18600104,TMIN,100,,,a,
ASN00063004,18600104,PRCP,0,,,a,
NLE00100499,18600104,PRCP,7,,,E,
EZE00100082,18600104,TMAX,54,,,E,
EZE00100082,18600104,TMIN,12,,,E,
EZE00100082,18600104,PRCP,19,,,E,
ASN00061035,18600104,PRCP,5,,,a,
ITE00100554,18600104,TMAX,19,,,E,
ITE00100554,18600104,TMIN,-12,,,E,
ITE00100554,18600104,PRCP,0,,,E,
USC00361920,18600104,PRCP,0,,,F,
ASN00058063,18600104,PRCP,0,,,a,
USW00014838,18600104,PRCP,0,,,F,
ASN00056002,18600104,PRCP,86,,,a,
ASN00066062,18600104,TMAX,233,,,a,
ASN00066062,18600104,TMIN,171,,,a,
ASN00066062,18600104,PRCP,277,,,a,
ASN00023000,18600104,PRCP,0,,,a,
ASN00070023,18600104,PRCP,165,,,a,
ASN00072001,18600104,PRCP,0,,,a,
AU000005901,18600104,TMAX,73,,,E,
AU000005901,18600104,TMIN,18,,,E,
GM000004204,18600104,TMAX,96,,,E,
GM000004204,18600104,TMIN,50,,,E,
GM000004204,18600104,PRCP,0,,,E,
SW000024180,18600104,PRCP,82,,,E,
SG000061612,18600104,TMAX,255,,,I,
SG000061612,18600104,TMIN,120,,,I,
UK000047811,18600104,TMAX,89,,,E,
UK000047811,18600104,TMIN,41,,,E,
UK000047811,18600104,PRCP,81,,,E,
ASN00094132,18600104,PRCP,0,,,a,
ASN00021010,18600104,PRCP,0,,,a,
ITE00100552,18600104,PRCP,250,,,E,
ITE00105250,18600104,PRCP,0,,,E,
NLM00006310,18600104,PRCP,20,,,E,
ASN00074128,18600104,TMAX,344,,,a,
ASN00074128,18600104,TMIN,167,,,a,
ASN00074128,18600104,PRCP,0,,,a,
UK000056225,18600104,TMAX,78,,,I,
